rating,content
5,
3,"Just downloaded this coming years program.  Took me an hour including 1/2 hour with a Quicken help desk person.  Was afraid it had wiped out this last years files, but they did get restored.  I may think twice before I renew for another year.I'm having difficulty in connecting to my credit cards and bank accounts for downloads.  Spent enough time trying that I enter most data manually."
5,Satisfies my need for tracking income and expenses over the years and budget projections for future needs.
3,The program needs to allow sorting t
4,Just recently Quicken asks for login but cannot log in.  HELP!
2,
1,Constant data manipulation errors. My balances are constantly getting whacked. Not worth the money spent on the subscription just no other option. I am looking for an alternative financial software solution.
5,Great customer service!  Excellent product; makes tax preparations easy & finding historical transactions & history is fantastic!
5,"I've been using Quicken for decades for our personal and farm bookkeeping. I also use Quicken to keep the books for our church. It gives me what I need, without extra steps that I don't need. (I have used QuickBooks, and it was over-kill for our needs.) It's always been clear and easy to use, and I doubt I'll ever go to a different product."
1,"Despite the clear statement that I could continue using my Quicken with lapsed onerous and ridiculously expensive subscription, you disabled my ability to run the software.  Your instructions on how to “fix” this did not work. Your web site offering to sell the same software for $5.xx per month yielded a bill for twice that.The services offered by the subscription are of nearly zero value. The bank connection actually caused extra work in many cases. I can check for software updates any time I want.  There is precious little need for the excessive number of  updates that you publish.The reports generator, though effective in its own way, doesn’t appear to offer a way to create my own custom report."
5,Been use it for many year it's a life savor. Learn to use the new one now.
4,"The ability to reconcile each account is important to me. The budget versus actual report seems harder to get than it used to be, if it's available at all. The Quickfill Rule seems unwieldy at best. Every time I enter a transaction, I have to go into Quickfill Rule Save and click off the box that says save ths rule and then click save. If I don't, I can't change the amount of a regularly occurring payment or income. It seems like something should be done about that."
5,My wife is an independent business owner. Having the ability to not only track her monies but to search and find particular expenditures quickly has saved us much time and even money.
1,"Much of the account information is incorrect. Some accounts missing and my Vanguard account is more than US$100,000 short. Correcting all of this before I can even begin to categorize transactions to prepare for tax season is a burden."
5,"Quicken is intuitive, easy to learn and use, and dependable.  It's one of the best investments of money and time I've made."
5,My go to accointing software for many years
5,Keeps all of our accounts straight - very helpful
1,I HAVE USED QUICKEN FOR ABOUT 30 YEARS.SERVICE IS NONEXISTENT. NO ONE IN THE USA EXISTS EXCEPT TO PURCHASE SOMETHING. EVERY TIME THEY COME OUT WITH AN UPDATE IS SCREWS UP SOME PART OF THE PROGRAM ESPECIALLY WHEN DOWNLOADING FROM FINANCIAL SITES. ERRORS ALWAYS AFTER UPDATES . STILL USE AS THERE ARE NO OTHER OPTIONS--SADDDD  MANAGEMENT COULD CARES LESS -ALL ABOUT RAISING THE PRICE AND PROFIT NOT THE PRODUCT AND CUSTOMER SERVICE
1,"I had been using Quicken for all my home finances since 1994.  It used to be an amazing app.  Now it is too complicated and tries to do too much.  Reports were EZ to make and customize, the graphic interface was less cluttered, the learning curve was super EZ.  Now it has become inscrutable and will not sych with all my previous data.  Quicken used to be the best reason to own a computer.  Now it is a cumbersome mess.  I'm done."
3,"My Quicken hasn't worked correctly for 2 years.  Doesn't update accounts correctly, and if you try to edit it will duplicate the entire transaction.  I've had to manually balance my checking account about 2 years.  Nothing like it was when I first started using it."
5,Very easy and encompassing tool to use. Puts all my information at my fingertips
4,Helps me with my finances.
5,"Quicken gives me the ability to know where I stand financially, my spending catagories and ease of assembling information for tax forms."
3,There is not much information on setup process and editing an entry.  Definition of terms used. Transparency on Data usage by intuit. Why not a step by step with data flow diagrams and sequence.
5,"Quicken Classic works well for personal finances, and very small business.  Easy to use and track.  It was not meant for larger businesses tracking receivables and payables, nor inventory, though I’ve seen it being used."
3,I dislike how difficult it can be to open my files==-often a long wait while the rainbow circle does it's thing.
5,Takes out the tedious of excel spreadsheets and allows numerous reports and queries to be run
4,"Great method to keep track of finances.  Learning curve on my new iMac was long, but once I got used to it, it was fine."
1,"You’ve grown to big for your britches, I’ve been with you since the standalone version 2.Not worth what you’re trying to charge."
1,"Buggy as hell, India based tech support, you can tell an equity company bought this and wringed every penny they could from it.  What was once a usable product has been enshitified until it's worthless."
5,I've used it for years. Greatly aids my financial plan in retirement.
2,I tried to change the one I was using to a cheaper one it didn't work I got my money refunded and shut off again won't be using next year I'll find something else but this is the way it is I didn't even get the discount
5,"Consolidated summary of assets, liabilities and net worth."
5,Easy to use and keeps your accounts verified
3,"InconsistentNot like it used to be, connecting, setting up accounts, bill pay."
2,"Software is clunky and slow on a newer PC. If the price goes up one more time, I’m out."
3,I've been using quicken since the mid 90s. It hasn't evolved as technology has. I only still use it because there really aren't any other options.
3,"I would have given you 5 stars until you removed my home inventory. I can't believe you would do that. I spent years putting my household inventory in the system only to have you remove it. I know you put it back, but it works half-ass now!! It will be some time before I give you any more 5 stars."
5,Keeping my checkbook and expenses up to date on a daily basis and being able to download transactions directly from my bank makes my experience very enjoyable.
5,Quicken provides me with what I need.
5,Love being able to run custom reports to zero in on various expenses and categories
2,Tried to adjust columns.  Too little space to view figures.  The area for accounts uses too much space to allow the amount column to be read.  After the adjustment the next use the problem reoccurs.
3,You seem to have changed the way reports are handled. I have saved reports and can’t use them anymore.
4,
5,Ease of getting my Starter Quickens software renewed and the user friendly nature of this software.
5,"Easy to use.I recently bought a new computer and the transition of information was easier then I thought it would be.Something that Quicken could do is do a tutorial that is accessible easily with one click, to explain things(on how to get the most use out of Quicken)"
4,Excellent accounting software.  It does not handle metals trading or account well.
4,Mostly very good.  Sometime 1 or two transactions are missed when using the update feature.
5,I've used Quicken since the 1994! Over 30 years!!! It's been a great product... helping keep our finances in order!
4,"It has the ability to be simple, which is what I need. It also offers greater sophistication for those who need"
5,I have been using Quicken for many years. At the end of the year all my reports and information are so easy to obtain from Quicken.There was some frustration renewing Quicken so maybe it was at mt end. Had to change reset my password and a few extra steps to accomplish renewal.
1,"I turned off auto-pay, but they renewed my subscription again for another year. That's a bogus way to run a service business."
5,We rely on the accuracy of Quicken and its ease of use.   I am a very long time user.  I was a beta testor of the Radio Shack version.
5,"Needed to troubleshoot an issue.  Was able to talk with human and resolve issue.  I do not use the investment aspects of Quicken, mainly the accounting and check writing functions which perform very well."
5,Quicken allows me to keep track of my finances
2,To get reports is not friendly and to print even worse
5,"It not only makes doing my taxes easier, it helps me realize where my money is going. Plus the tech support is great!"
5,I have been using it for at least 10 years
3,"Expenses categorization good; reconciliation of account OK; investment downloads, categorization and reconciliation VERY poor"
1,Why didn't you notify us that our version of Quicken was too old for new computers to allow the program to continue to run. You renewed our subscription for a program that we can't access. We have since purchased the newest version of Quicken so we can continue to have our banking information. Frustrating.
5,I went back to quicken after selling my business I just needed a program for my home accounts it is better now than the version I was using years ago love the automatic update and the cloud backup also the automatic download of all my transactions
5,
5,I love all of your online improvements which has enabled me to keep my updates record accurate. I have been with your company for many years and this is the best!
3,I gave this because when you update you give us no choice to not update
5,"I use this for home; not a business.  I like that they update Quicken when there is one.  It is easy to use and when I do have a question, customer service is always there for you.  They are knowledgeable, friendly, caring and genuine.  I highly recommend Quicken to anyone."
1,I cannot access direct info from my bank and your company is not willing to help.  All they do is pass the buck
5,This software has kept me organized and in the know for my finances for over 20 years. It was recommended to me by a former financial planner I used after my divorce. It was the best advise she ever gave me.
5,Quicken is easy to navigate through. I have my checking and savings account to on it. After an update there is always a tutorial if you want to see what is new.
5,"love the quicken home and business, works with ease!"
4,I like quicken just wish did not have to pay every year.liked it better when you bought the program and just used it
3,
4,Easy to use and helps keep you organized. If you have a Business and use it make sure you don’t change the rules of the categories or it is a mess. Only downfall of the program and no one is available to help.
5,
3,
5,Been using it for over 30 plus years.  It is great.  Easy to use and helps me track all my expenses and payments.
3,At random times the program will freeze and dump me totally out. This happens while entering a line item in the register.
2,"You don't recognize my Arvest Bank account. I've tried several times to add it to my Quicken account, so that I can monitor my mortgage. Please fix this error in your system. S"
5,"Although the basic package has some restrictions, I was able to work around them by setting up accounts to carry other assets."
5,it makes it easy to work with to control expenses and income. all right there at your finger tips.
3,too many flaws because of constant changes in program for carp no one uses
4,"I love this software.  I don't like having to do an annual subscription.  Since Quicken went to a subscription only option, I wish they gave you an option to pay for multiple years at a discounted price.  Last year I purchased thru a store to save some money on the cost.  This year, when I did this, I received an error saying ""for first time subscribers"".  Luckily I was able to get my money back from the retailer I purchased from.Additionally, when updating transactions, after saving the transaction, it will show the transaction twice.  I have to exit and go back into the program.  Very annoying."
5,"I have been using Quicken for more than 25 years, through major changes and minor. The current iteration seems to be one of the best. I can track finances, IRAs, credit cards, any financial investment that I have. Very fast."
4,Have used Quicken for years!
5,I have been using Quicken for over 20 years.  It is easy to use and therefore…life is easier! :)
3,It doesn’t reconcile with my bank any longer
5,Continuous product improvement.  Would like to have the option of Quicken Dark Mode for Windows.
5,I like the simple use of it.  I don’t pay on line thru quicken  I use it to track my usage and keep me on track with my finance and budget.  It keeps me aware of what I have in my different buckets/categories. At the end of the year I look back to see how I did. It helps me to figure out how I need to adjust my budget.  Thank you.
5,Quicken helps me keep track of expenses for budgeting and tax purposes.  I love it!
5,Great service and has people to help me if I have a question!
5,"I am a simple user find its ease of use more than acceptable, as long as you do not try to ""improve"" it."
4,
3,The cost per year to keep using quicken with out the adds and other distractions that pop up if you don't pay the yearly fee after quicken was bought out. When you pay outright for the program and use it for YEARS. then they start charging to keep the program free of junk pop ups.
5,"I've been using it for over 30 years, what does that tell you? It would be nice to have a customer service approach with a real person instead of going thru FAQ's or looking online to see if others have had some of my same concerns. I usually give up, not easy to get help"
4,Easy to use for my simple accounting for home and for my small business!
5,
3,
5,"I had a computer crash and was unable to get to my Quicken register. I do all my banking and bills through Quicken. I was able to download a new Quicken app to a part of my computer for a temporary period while I waited for a new computer. Once I received it, I was able to download again and I am now running with no problems and there was no hassle in doing the downloads. Thanks, Quicken"
5,Great product.  Easy to use.
4,"When call customer service they usually can help, however they are very difficult to understand. Their English not so great. I’m always afraid right after up date because problems usually pop up. Especially interfacing with my accounts. Very seldom use Quicken’s help because interaction is not that good. Use U-Tube instead.The 98% Quicken does interface with my other institutions it’s great, other 2% not so much.Downloading many different reports is great."
2,Too many bugs and issues. Especially in Jan and Feb when I’m preparing tax info.I have had to make three different bank accounts from one due to download issues. Considering finding an alternative program.
2,
5,It was simple to renew Quicken membership.
5,"I do not use Quicken as much as I should, but it does work very well to the extent I do.  I am impressed with its capabilitie, for more now than when I started many years ago."
3,my goal is use and maintain one accounting software for personal and small business and that I am able to use mobile as well and desktop to integrate all financial  information including the minute I get in my auto (mileage tracker) to import into tax filing software. Quicken is almost there.
5,Been using quicken for years.  Couldn’t handle my finances without it.
5,
4,"Needs continued improvement and updates.Quicken is one of the top financial software suites and has a large number of users. I have used it since 2004 (mostly on Windows). What I find ominous is the lack of back- and front-end planning: the lack of 64bit support, native ARM support, lack of flexibility and customizability with graphs, the severe lack of updates for the MAC or web based version... I know there is a move to an all web-based ecosystem, but it lags well behind the Windows desktop version.I genuinely wish Quicken would keep on some of these topics to stay relevant. I hope to still be a user for the next couple of decades, and not JUST because of eco-system capture."
4,Program does what I need it to do.  Thanks.
5,I had two checkbooks for same account.  Helper was terrific in figuring out what was wrong and helping me correct it.  Best interaction I have ever had. She really knew her stuff!
5,I've been using Quicken for years.  Never had an issue.
5,Long time user.  Very good way to track finances!
3,"It’s somewhat helpful and frustrating when there are gaps in the transactions without gaps in payment for the year. Overall, better than older versions."
3,"Honestly, I have been close to just using my banks online software for several years. The only reason I use Quicken is the repeating bills and being able to see and schedule payments. I have an internal bank transfer issue that has gone on for well over a year where quicken double enters and the only way to straighten up is manual intervention."
5,I've been using Quicken since 1991. It has always served me well.
3,I like the program but not the fact that it costs over $70 for 1 year!
3,It's been several years now and still no progress on being able to reconcile 401K accounts in the mac version like you're able to in the windows version.  Shouldn't take this long to fix this issue.
3,"Unreliable connections to accounts, delayed updates or refreshes of account balances. When it works, it’s great, but it’s inconsistent."
3,
4,I like working with Quicken to keep track of my finances.
2,Windows dont adapt well and go off screen when font sizes are increased. This should have been fixed by now.
3,*** For doubtful basis cost calculations of reinvested dividends
5,I've used Quicken since 1993.  I love that the company keeps the software current through monthly updates.
4,"Been using for many years, but somewhat frustrated with quicken having an open issue withSchwab's managed asset bond fund that doesn't download properly."
5,
4,"I've relied on Quicken for several decades to manage my personal finances. That said, there's plenty of room for improvement. Report formatting for printing needs attention. It is rather inflexible & hasn't changed much over the years. Downloading from financial institutions like banks & credit accounts can be too complicated. And, good luck if you need technical support. Finally, since Quicken converted to an annual subscription basis, cost became a big factor."
2,"So many glitches in Quicken Classic Deluxe, and I never get a response when I reach out to customer service about the problems. It takes me SO much time to fix issues caused by glitches which is extremely frustrating. If I didn't have 3+ years of data in the software, I absolutely would not have renewed this year. I only renewed to get me by until I can invest the time to switch to a new system altogether....unless the glitches are resolved."
2,"It keeps my checking and savings accounts accurate. All my investment accounts are never correct and are off by thousands of dollars. If I could find a competitor of yours, I would switch immediately.  When I call in for help, I can not hear the person w/ whom I am speaking as there is so much background noise.  It sounds like 50 people are in the same room."
3,I like keeping track of my investments but I'm finding more and more smaller companies can't or won't connect to Automated quicken down loads.  Very inconvenient.  Also big issues with Discovder card downloads. I need to call tech support but dread it!
5,"I have used Quicken for years.  It is a great way to keep your checking and savings accounts organized.  Also, at tax time it has several useful reports to use"
5,
5,Always easy to use and very thorough reports.
3,There is still issues with the program freezing too often. I need to restart it every time this happens. None of the recent updates have fixed this issue.
5,"I have been using Quicken for years!  Great software, easy to use. Price is affordable."
3,Long time Quicken user and its features are important but the continuing rise in cost for Quicken Classic is motivating me to look for alternatives.
5,An ongoing real time expense and income record with highly useful comparison features for YTD and past year performances.I happily renew for this quality experience and business aid.
4,System is very powerful in connecting categories with their history. Makes finding errors and planning budget easy.
3,
4,"When it downloads correctly, I love it. But when it downloads transactions from my bank that haven’t cleared, it’s confusing and frustrating."
5,"Being a Quicken user for decades, I can't imagine being prepared for tax time without daily discipline of keeping my financial records current and properly organized.  The extensive reporting features make tax time a breeze."
5,I like connecting to my bank account to download my balance from my account.
3,"Quicken for MAC Premier:Better overall than some other programs on the market but here are my issues with it:-No ability to move an account from one major category to another: e.g., savings to investment-No ability to control the detail required for an account in a category e.g., Quicken treats all investments as if each investment is a security like a stock or bond but in fact is a commercial CD-I don't know what you folks are doing with balances but some of my balances are untrustworthy.THIS CONTENT IS FOR YOUR INTERNAL USE ONLY AND YOU WILL NOT SHARE IT BEYOND HERE OR IDENTIFY ME IN ANY WAY"
4,
5,I depend on Quicken for my simple financial recording. I am old . . . I truly appreciate the simplicity of this program and the many possibilities it presents and offers in keeping detailed records.  Thank you Quicken.
5,Quicken is an excellent tool for me to manage my finances in one place.   I primarily use it to track my monthly income/expenses.  Transaction downloads are quick and easy.
5,Really helps me keep up with my finances.
4,"I love all of the detail and the integration with my financial services companies.  However, that integration has regular glitches; which is somewhat expected.  Quicken's troubleshooting support for these glitches leaves a bit to be desired."
5,
5,The facility to work with the system is excellent.
4,some reports reflect different values than accounts reflect.
4,Everything as expected
5,Very easy to use and it keeps everything organized perfectly for me
2,The program does not have the same smooth flow it once had.  The drop down menus seem overly complicated.
3,"The report generating/creating function continues to disappoint, especially in the area of column width adjustment and retention. Also the selection of report columns continues to duplicate the amount field."
5,"ease of importing QDF files from my bank and Quicken ""learning"" from history what category to assign it.  Reports help each year in generating proof for tax reporting."
5,"I've been using Quicken in one version or another, ever since I received a copy in a free software bundle, back in the 1970's. I use it for my family personal financial monitoring."
1,I take no pleasure in reporting my bad experience yesterday with Quicken tech support in an attemted resoolution of  a corrupted data file. Tech's solution resulted in loss of even more highly imortant data. I was fortunately able to resolve the matter mysefl.
3,Very reliable but conversely there hasn't been much of an upgrade in years.  Would like to see more innovation to make it more user friendly.
1,I need help setting it up. Where do I get help?
4,It. Is a fine tool but there are too many updates.
1,Not compatible with MacOS - need to use Parallels
5,"I have been a Quicken user since Version 1.0 and a beta tester for two releases. I feel Quicken is the very best financial application for ""Joe Average"" and the technical support is usually awesome!"
2,When are you going to make the Mac version as feature -rich as Windows?
5,Used this product for many years. It has provided a great picture of current and past financial conditions and is helpful in identifying future trends.
3,Still waiting for the Nordstrom account to be fixed- since October !!
4,Had a problem which.
4,"I am now 81 y.o., and I no longer have the math ability I once had.  The only complaint:  encouraging mo to upgrade."
4,"The program is very useful for keeping track of my ward's expenses.  However, it is not user friendly when it comes to learning about the program.  Had to buy a book.  Self-learning is made too difficult."
5,
5,"Been using since it was created for personal finances.  Love it.  Wonderful product evolution, and improvements over time with each update. Customer support is consistent and the screen sharing feature is wonderful (for the few times I needed help). In the top three computer customer support phone services I have ever used for the products I own. The service is great."
5,"Been using it for many years, like the features offered."
3,"Since starting to using Quicken for Mac, there are a lot of functions that are not available. I used Quicken for Windows for over a decade and enjoyed to whole experience. Here are some examples: I can not edit memorized transactions, the auto fill on checks doesn't fill in the memo line, and this year I couldn't export into Turbo Tax.  Don't get me wrong this is the best program for what it can do for me, it just don't have some of the features the Window version does. Thank for listening."
5,This as been for the pass 30 years my accounting software for my personal finance. And i enjoy everyting of it. It simplify my day to day and it is simple to use.
3,Wondering why it's $76 for renewal and only $38 to buy a yearly license? Will cancel subscription and buy yearly renewal at the box office to get the massive discount
5,The software works great and is super helpful to keep track of my personal business activity.
5,Quicken for the Mac keeps getting better and better. I have been using it for 20+ years and it is an indispensable tool for managing my finances. After all this time this they are still finding ways to improve it.
5,I track investments and check book and would be lost if I did not use Quicken. Also I don't download data I enter myself it keeps my brain active.
5,I don't have any thing to share or to discuss.
5,I love to be able to see all my accounts in one place and what is happening daily.
2,Many more bugs and difficulties in recent software. I have used this software for 20 years and never experienced as many issues as I have the last couple of years.
1,"I explained exactly what I needed and after I had paid for the software and downloaded it I was told it would not do what I was looking for…that I needed something else.  I had already spent more time on the phone than I needed or had time for, so had to hang up without resolution. But will try to call in again and get this straightened out!!"
3,It's no longer user friendly. When I started with it it was such a useful tool but now it's got too many features that most of us won't use and clutters up the functionality. Updates change things around and make it worse.My last experience with customer service never fixed the problem and only made it worse
5,"Makes spend tracking easy through stable transaction downloads. Because of completeness, I am able to maximize use of multiple credit card for rewards and not miss a payment."
5,"Actually I would like to thank the banks, credit unions and credit card companies who have taken care of their customers by realizing that a well-functioning Quicken upload ability is important!"
5,I've used Quicken for years. I appreciate its user friendly approach to bookkeeping.
5,I use Quicken every day and sometimes 3 times a day to track my cash flow and my banking accounts.
5,
2,For months quicken has been crashing multiple times a day
4,"I love Quicken's ease of use, and all of the features. I find there is always a minor bug or two that you have to deal with. Not enough to stop me from using it, just enough to make it a nuisance at times."
4,"tax preparationrecord keepingas long as I have used, I think the renewal cost is too much...How about a free year every 4 years?"
5,Very easy to use.  Works great for our family family finances.   I am a 20+ year user
4,"Overall a great product, I enjoy having the view into my financial status and using some “if/then” analysis."
4,Quicken is easy to navigate. I appreciate that very much.
5,I’ve used Quicken successfully for years.  Highly recommend!
5,
3,"quicken has become a big company that cant seem to help the people who use it. Help is not as sharp as it once was and you get multiple answers on the same problem with each phone call. As an example, bank of America credit card suddenly stopped updating. Many phone calls and numerlous ""fixes"" eventually told was a bank of america issue Still no ability to update and no fix in sight. Bill pay handling was abysmal"
2,"Data entry from banks, credit unions is inaccurate.  Requires almost manual entry of all items.  Frustrates me to even want to attempt to work with it."
1,"Created reports, can't print report due to print screen oversized for my screen. Can not find any way to reduce print block size to select printer and print buttons are off screen."
5,Great for keeping finances
5,Portfolio management is extremely easy and informative.
1,Annual subscription is BS. No online services used and updates not needed. Let me upgrade every 4-5 years at my option.
5,Much easer to manage and track my finances
2,"The new Simplifi subscription price is unwarranted.  Very large percentage increase, when connectivity problems and feature bugs persist.  Most of the ""improvements"" used to justify the increase are of no interest to me, so I get no additional value.  I expect to look for alternative products before my next renewal."
1,I have tried to contact you to cancel my subscription.  I haven't been able to get through.  So please cancel my subscription to Quicken
5,
3,Still hard to record spin-off in investments or other rare activity
2,"Can't get some accounts from major banks to upload, no matter how many times I try. Have had to continue to manually reconcile some accounts. Having to change from online reconciliation to paper has created major discrepancies in my accounting. Some smaller accounts or banks are not available for auto update. Frustrated this happens considering the annual fee that is paid to use the product."
4,My experience was alittle confusing to renew.
3,"Mac version is still far inferior to Windows version of the software. Also, Accidentally have a ""Simplify"" version that I tried to cancel prior to autofill...that didn't work and your refund process is very ponderous."
5,For many years Quicken has been my go to software for both my personal and business finances.
5,"Awesome tool for the daily, monthly and yearly statements"
3,Some restaurant charges download with different restaurant names.
2,"Had an expired subscription (several months ago), would not go away when I purchased a new subscription (probably because I had a different email."
4,search could be easier to use; customization could be better. subscription increases are inflationary.
5,Simple to use financial management program for seniors like me. I would be lost without it. Access it once or twice every day.Usually works very well with only a few hiccups here and there. Frequent updates usually fix the few problems that do show up. Wish list -  Dark version and more color backgrounds. Very satisfied with program.
5,"Ease of use - looks just like a checkbook  and can categorize everything.  Once catagorized, you can how much was spent on that category.   Very easy."
4,"Been using Quicken for many, many years. For the most part, no problems. I use the software for just basic household bookkeeping (no investments).FYI: I'm 74 years old."
5,very easy to use
4,When I use 1 step update after I enter password nothing happens and I then need to click on 1 step again to get download screen.
2,It takes 4 minutes + to load.  Every step is slow.
4,"I have used Quicken to manage my checking account for many years. It does a great job of tracking my check book entries and also fairly easy to balance my checking account. At tax time it does a fair job of listing my tax-deductible items. However, I am certain there is more functionality that I am not using, simply because there is no real simple training or help. The overal format is rigid and does not lend itself to minimizing column widths as in an spreadsheet or at least I have not found the magic way to do that. That's it, other than it works for what I need I am OK>"
4,"We have used Quicken for years for both business and home.  Easy to use and when I need help, it is easy to get."
5,Solid way to keep up with finances. I've been a Quicken user for over 30 years.
5,
5,I am thankful for th simplicity of the program and the choices we can make.  Thankyou for the support given also.
5,I am thankful for th simplicity of the program and the choices we can make.  Thankyou for the support given also.
5,Great program! Perfect for my needs.
2,The data is not sorting the way it use to.  I now have to select last year for the transactions to sort properly!
1,
1,I have been a quicken user for many years and have loved it. All at once I am experiencing all kinds of problems and can't find a tutdor to help me resolve them. I am sure the problems are easy to correct but for now I can't do my taxes. I live in Denver Colorado. Do you have any suggestions?
5,I love having my finances at my finger tips.
5,"Having Quicken makes me feel in control of our lives when I track our budget and finances every month and year. I actually dont use all of the tools/features it offers, but every year get a little bit more savvy and smarter with how we run our lives."
3,When data is correct it’s a great tool for budgeting and tax preparation. However over the past year it has become less reliable at automatically categorizing transactions. A recent dinner transaction that had “pizza” in the title was categorized as “mortgage payment “. Stay on top of this and you get the benefits stated above.
5,"I've been using Quicken well over 20 years now and I absolutely cannot manage my finances without this platform!The best thing about using Quicken is that all my banks have the ""Quicken"" download feature which makes it really easy to balance my accounts.If you are thinking about purchasing this product to manage your personal finances - don't hesitate!!This is an investment that you have to have!!"
5,I'm extremely happy that Quicken continues to provide a product that doesn't require me to store the information in a cloud. I've been using Quicken since 1993 and it continues to meet my needs. Thank you.
5,I like the reserved approach to sending emails and when they do come they are most often useful. Been using this product for at least a decade and it helps me track and manage my finances and budget. It’s a good investment.
5,"Helps me keep family and freelance work finances organized, and reports are great for tax prep."
5,"Although my financial recordkeeping requirements are modest, I have used Quicken for over 15 years with a number of positive advantages over paper bookkeeping.  I am quickly able to see balances in checking, savings and investment accounts.  I use the annual budgeting capability to help monitor our monthly expenses.  I particularly appreciate the ability to generate useful reports to inform our financial management during the year and especially at tax time."
5,I use it daily for our finances. It’s easy and elegant in its simplicity.
3,"Online is not available for actual working just viewable.  Every time I use Quicken, I have to deactivate my account and reactivate it to get the downloads."
1,"There Technical support is pitiful, I have had a problem for months which they haven't resolved. I would not recommend this product to anyone! I'd stop using it but I have to much data that can't be transfered to another program, so I just don't use the budget potion of Quicken!"
3,"There is an ongoing issue with getting transactions downloaded from Citi Bank Cards.  I have been constantly looking for a fix, but have not found any.  I would like this to be taken more seriously and a fix found"
4,The representative that I talked to was most helpful.
5,my financial needs are basically simple and the Quicken that I have is a great help in keeping track of everything
5,I appreciate the ease by which my checkbook balances every month.  And I like that I can anticipate next month's bills and be ready to meet their deadline.  Life is just easier with Quicken.  Thank you!
5,I use quicken mainly as a checkbook register.  I really helps me keep track of my bank balances without any math mistakes!  Just wish there was a way to get the memo for the payments I have made to different establishments to transfer from my bank onto quicken.
5,Easy to use.  Lets me track my expenses.  Able to create reports and search for thing in the past.
5,I am impressed by Quicken updating the Mac version on a regular basis
1,I have Quicken Classic Starter. My ledger will loose 20 to 40 data entries in the payee column. The recipient name in the Payee column will be replaced with the check number. This has happened 4 times. I call and people at Quicken will help me correct the ledger entries but won't address the root cause of the problem. Very frustrating!
5,"I really enjoy using Quicken and making it a part of my morning routine.  It is very easy for me to keep track of multiple bank accounts, a business account, and several investment accounts with one button.  The dashboard is also a great place to see my overall financial health in graph form so I can track progress through the year."
4,"Quicken is excellent for keeping records for taxes, and printing out a list to take to my tax preparer."
5,"Quicken helps me keep my finances in order, track my expenses and enables me to see the forecast of what I can do and where I am going. I also love the integration with my bank, it makes reconciliation very easy."
5,I have been using Quicken for several years. Uploading my financial accounts is so easy. I run many reports off of my data for business. It is a great tool and I refer it to many of my colleagues.
5,"Quicken is a great tool that consolidates all of my investment accounts as well as managing my spend from budgeting by category through daily spend.    I “Quickenly” can see my Net Worth, Gains/Loss, and many other key indicators."
5,
4,"Last year I would’ve given a 5 star, but you’ve made changes and it’s becoming more and more aggravating and time consuming to get my work done."
5,I've relied on Quicken for decades to help me manage my finances.  It has rarely failed me.
1,"Quicken Windows is a fantastic product - if it worked. The functionality of Quicken is incredible.  There’s nothing like it in the market.  But it’s written on decades old code that creates all sorts of issues on new computers.  The primary result is that Quicken is very slow - it hangs, it lags, it stutters. If the Quicken Windows team would simply update the code they would have the greatest program in the world."
2,My quicken has crashed 2x because of windows
4,I have used Quicken for many years and I like it.  It just costs too much.
4,the math is great.   I really rely on the acuracy.
5,"One of the best budgeting apps I have ever used. Easy to use, separate login for my spouse."
4,It is easy to keep track of and balance my checkbook. Categories makes it easy to see where my money goes.
5,I like the convenience and accuracy. I also use and enjoy the bill reminder function and the auto-entry for monthly expenses and income. Reconciling is very quick and easy and I don't have to wait for the end of the month to do so.
5,Quicken has improved my personal financial management 100%
4,Love the reports which show at a glance how much was spent on each category.
4,"The only thing I'd like to see changed is the ability to print off a Category list with the number of entries to it.  You can print an Account list now, why not categories."
5,Use daily for tracking transactions.  Customer service is good.
4,"I like it, it helps me."
4,"It has been very useful in keeping track of our finances, business and personal.  I like being able to compile each year's expenses for taxes, as well as the ability to look back thru those years, and compare then and now."
5,constant improvements
1,Every time I do an update from my bank. Quicken only get 1/2 of the names wrong on my account.
2,"I only need quicken for basic input of expenses and tracking deposits. I find it difficult to correct my errors, and balancing problems. I just need a more simplified app. Yes, I am an older person."
5,"I manage my whole personal economy in Quickbooks, making it easy to handle stocks, savings and assets."
5,It is easy. I have been using Quicken since 1987 and love the information it keeps for me.
5,This program is easy to use.  The updates reflect that the company is taking an active approach to resolve customer problems.
3,Still can't compare equity dividend performance year over year.  Would be nice to know which equities perform better for a period of years.
2,"I have no other choice.  I do not like the subscription service, hi ow I miss the old days of purchasing software and it was yours for as long as you wanted without being forced to buy it yearly.  In the past I would upgrade every other year in a time friendly to my budget."
5,I have used Quicken for many years.
4,I have been using Quicken for years and love the product.
4,"It is a very powerful tool to manage finances & investments along with planning. Everything is very well organized. I have had some download and reconciliation issues that keep coming up. At this time, I've not contacted customer support to fix the issues, but I've worked around them."
4,
5,Concern regarding a charge to our account that was unexpected was promptly resolved.
3,Too many changes that are not useful to me but effect my use.
4,"I´m a Quicken user since 90´s but I´m Brazilian ans live n BrazilI´d just to ask to allow us from Brazil to get Quicken Mobile App from here, please"
1,After paying I still can't not use Quicken. It still says my membership has lapsed. Would like to talk with someone sfter4pm today 1/27.RespectfulJohn Carcioppolo 860 514 7064
5,Long time user of Quicken. It meets my needs.
5,It has helped me maintain all our investments and plan for Retirement.  Everything is in one place.
5,Have been using quicken since it's beginning  flopy disk time.
